Column2,Column3,Column4
！！！前方高能！！！这不是在演习！！！非战斗人员请立即撤离！！！再说一遍！！！这不是演习！！！,4,nan
.        .,4,nan
！！！前方高能！！！这不是在演习！！！非战斗人员请立即撤离！！！再说一遍！！！这不是演习！！！,4,nan
！！！前方高能！！！这不是在演习！！！非战斗人员请立即撤离！！！再说一遍！！！这不是演习！！！,4,nan
.     .       .      .,4,nan
(?O?),4,nan
.   .,4,nan
(′????‵??? ?)我想回家…我想找麻麻…（?д?`）,1,nan
！！狮子座的我来了！！！,4,nan
(??ω?｀),4,nan
(●—●),4,nan
！狮子座,4,nan
(●—●),4,nan
.  .,4,nan
！天秤表示兴奋,4,nan
........,4,nan
！我也双鱼！,4,nan
(*??╰╯`?)?,0,nan
(⊙o⊙)哇,4,nan
(⊙o⊙)哇,4,nan
(⊙o⊙)哇,4,nan
(⊙o⊙)…,4,nan
(●—●),4,nan
(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●),0,nan
(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●),0,nan
(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●)(●ˇ?ˇ●),0,nan
.........,4,nan
.........,4,nan
*8,4,nan
.............................,4,nan
*娃娃,4,nan
(=@__@=)哪里？,4,nan
，，，,4,nan
.................................,4,nan
(●°u°●)??」,4,nan
........................................,4,nan
(╥╯^╰╥)一点都不敢把声音调大，白米的尖叫我害怕,1,nan
(?ω?)hiahiahia,4,nan
(?>ω<*?),4,nan
（摸摸头）白米不哭,4,nan
（我绝对不会害怕什么的）啊～～～,4,nan
.隔壁老王在此。,4,nan
。    。,4,nan
(=@__@=)哪里？,4,nan
............................................+,4,nan
......0,4,nan
.....up你这样会使我很难受,1,nan
...你们这些弹幕我还以为，米米会被小哥哥打死,4,nan
..为什么非要推，不能跨过去吗,4,nan
。        。,4,nan
，，，,4,nan
。       。,4,nan
，，，，，，，,4,nan
，，，，，，，，，，，，,4,nan
。      。,4,nan
(=@__@=)哪里？,4,nan
(=@__@=)哪里？,4,nan
，小gaigai,4,nan
..,4,nan
。    。,4,nan
...,4,nan
。    。,4,nan
(=@__@=)哪里？,4,nan
。      。,4,nan
....,4,nan
......,4,nan
。     。,4,nan
......,4,nan
。     。,4,nan
。   。,4,nan
。。。。男主不饿么,4,nan
....感觉蛇夫座是个核能点,4,nan
....这么快就用完了护身符,4,nan
。。。白米米还是不会开,4,nan
.。。。。。。。。。。。。。。。。。。。,4,nan
。。。为什么不用护身符呢老铁,4,nan
(>﹏<),1,nan
。   。,4,nan
。,4,nan
。,4,nan
。,4,nan
。。。无鸡之谈,4,nan
。  。,4,nan
。,4,nan
。。不跑你是认真的。。,4,nan
(>﹏<),1,nan
。。懂啥了,4,nan
。,4,nan
。。三次护身符留着生孩子？？,4,nan
。,4,nan
。  。,4,nan
。,4,nan
。 。 。 。 。 。 。,4,nan
。,4,nan
。。。。。几秒不见甚是想念,4,nan
。找个锤子,4,nan
。,4,nan
。,4,nan
。,4,nan
。,4,nan
/,4,nan
/1/核能预警,4,nan
。,4,nan
？？！咋了我先把弹幕关一下？？,4,nan
。,4,nan
。,4,nan
？？、//??,4,nan
？？？？？？怎么就3个？？？？,4,nan
(??????)??,0,nan
？？？？？白米 你说什么？？你变了...,4,nan
。？。？,4,nan
????爱她也没用，该吓你还是得吓,4,nan
？？？？白米？？你你你？？,4,nan
。,4,nan
？？？？我就不能白为什么不赶紧走要一直跟她周璇,4,nan
。？？？。,4,nan
。？？？？？,4,nan
。别吓我,1,nan
(??????)??,0,nan
。,4,nan
。,4,nan
。可怕,3,nan
。,4,nan
。,4,nan
。,4,nan
？,4,nan
。,4,nan
？,4,nan
？,4,nan
。 ,4,nan
？？？你为什么要出来,4,nan
。                                                                                          。,4,nan
(??????)??加油,0,nan
。                                       。,4,nan
。                          。,4,nan
。                      。                      。                                        。,4,nan
？？？啥啊,4,nan
？？？这看攻略了么,4,nan
。                   。,4,nan
。                  。,4,nan
？？？这啥意思？,4,nan
？,4,nan
。                  。,4,nan
？？没有弹幕吗？？高能菌你还在吗？,4,nan
？,4,nan
。                。,4,nan
。              。,4,nan
？,4,nan
。             。,4,nan
？？你好骚啊,4,nan
。             。,4,nan
？,4,nan
？,4,nan
？up是男的好吗？,4,nan
。          。,4,nan
。         。,4,nan
。         。,4,nan
？up直的，麻烦玩梗适度，尊重一下up,2,nan
？弹幕各位胆子真大,4,nan
？,4,nan
？黑魔法？古娜拉黑暗之神，呜呼啦呼，黑魔仙变身,4,nan
？哪里有南？,4,nan
。         。,4,nan
?那不是羊角吗,4,nan
？,4,nan
。 。 。 。 。。 。 。 。 。,4,nan
？,4,nan
。，，,4,nan
？,4,nan
？,4,nan
。。,4,nan
。。,4,nan
。。,4,nan
。。,4,nan
？那我不正常？你这话说的就有意思了正常人还分胆大胆小的呢,2,nan
?,4,nan
。。,4,nan
？你们说的地窖是啥/路痴迷茫,4,nan
？,4,nan
？前面的不想看就别看？素质捏？,2,nan
？请问你在干什么呢这位阿婆，我们都看到了呢亲亲,4,nan
？说是女孩的什么心态？,2,nan
。。,4,nan
。。,4,nan
？提前高能假高能司马,2,nan
。。,4,nan
?,4,nan
。。,4,nan
。。,4,nan
。。,4,nan
？,4,nan
@逃生2,4,nan
@张京华,4,nan
。。,4,nan
。。,4,nan
[],4,nan
?,4,nan
“你瞅啥？”“瞅你咋地！”,4,nan
。。,4,nan
？,4,nan
。。,4,nan
《没有危险系数》,4,nan
。。,4,nan
？,4,nan
(●°u°●)? 此刻我的内心是崩溃的,1,nan
。。,4,nan
？,4,nan
《米米的作死日记》,4,nan
。。,4,nan
。。。,4,nan
《我根本不怂》,4,nan
【表示快被恶心死了55555,1,nan
。。。,4,nan
。。。,4,nan
。。。,4,nan
(?? . ??),4,nan
。。。,4,nan
？,4,nan
。。。,4,nan
？,4,nan
【刚刚说完一把过啪啪打脸,4,nan
？,4,nan
？,4,nan
(?? . ??),4,nan
【黄色高能君表示还记的,4,nan
。。。,4,nan
？,4,nan
【回来说明路没走对请不要害怕！！！,4,nan
【米米假装什么都懂,4,nan
【其实是符咒不管用,4,nan
。。。,4,nan
？,4,nan
？,4,nan
。。。,4,nan
？,4,nan
？,4,nan
(?O?),4,nan
【这个米天天就知道懂了其实也没懂什么,4,nan
。。。,4,nan
<a>,4,nan
(づ′▽`)づ,4,nan
？,4,nan
。。。,4,nan
。。。,4,nan
<安玖>低能！前方白米米死亡！,4,nan
。。。,4,nan
"(?""???)?",4,nan
<安玖>前方鬼畜坐电梯，请各位小可爱做好心理准备。,4,nan
。。。,4,nan
？,4,nan
？,4,nan
。。。,4,nan
。。。,4,nan
<安玖>前方禁忌二重叫，小可爱们请调小音量！,4,nan
-=，·气温恶567890,4,nan
。。。,4,nan
∪,4,nan
■■■■■■■绿帽子,4,nan
？,4,nan
?,4,nan
？,4,nan
。。。,4,nan
(ノ°ο°)ノ前方高能预警,4,nan
(ノ°ο°)ノ前方高能预警,4,nan
↓你也是某催更水友鬼？,4,nan
←——————————出不出梦境看电量,4,nan
？,4,nan
←我看成极乐净土我还有救吗,4,nan
。。。,4,nan
"(ノ°ο°)ノ前方高能预警(*°ω°*)ノ""非战斗人员请撤离！！",4,nan
。。。,4,nan
？,4,nan
？！,4,nan
?,4,nan
。。。,4,nan
(??益?)摔死了。。。,1,nan
？。？,4,nan
。。。。,4,nan
·                 ·,4,nan
·               ·,4,nan
。。。。,4,nan
。。。。,4,nan
。。。。,4,nan
。。。。,4,nan
。。。。,4,nan
。。。。,4,nan
。。。。,4,nan
。。。。,4,nan
·           ·,4,nan
·       ·,4,nan
。。。。,4,nan
。。。。,4,nan
…,4,nan
？？,4,nan
。。。。，,4,nan
。。。。。,4,nan
…,4,nan
。。。。。,4,nan
。。。。。,4,nan
。。。。。,4,nan
。。。。。。,4,nan
？？,4,nan
？？,4,nan
……9事件,4,nan
。。。。。。,4,nan
？？,4,nan
？？,4,nan
……关键时刻,4,nan
。。。。。。,4,nan
。。。。。。,4,nan
。。。。。。,4,nan
。。。。。。,4,nan
。。。。。。。,4,nan
。。。。。。。,4,nan
。。。。。。。。,4,nan
。。。。。。。。,4,nan
。。。。。。。。,4,nan
。。。。。。。。,4,nan
。。。。。。。。。。。。。。,4,nan
……没事？,4,nan
。。。。。。。。。。。。。。,4,nan
…ky？,4,nan
。。。。。。。。。。。。。。。。。。。。。。,4,nan
♂？！,4,nan
。。。。。。。。。。。。。。。。。。。。。。。。。,4,nan
。。。。。。。。。。。。。。。。。。。。。。。。。,4,nan
。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,4,nan
。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,4,nan
。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。额。。。。。。。。。。。。。。。。。。。。。。。。。。,4,nan
。。。。。。嗯真的懂了。,4,nan
？？,4,nan
。。。。服了,4,nan
?,4,nan
。。。差不多,4,nan
(?д?;?),1,nan
。。。放心食用，哈哈,4,nan
。。。一觉睡来从3集变成了10集,4,nan
。。哈哈哈哈哈哈哈哈哈哈,0,nan
？？,4,nan
（?д?`）,1,nan
。在看的扣2,4,nan
?,4,nan
:),4,nan
？？？？好gayhhhhh,4,nan
？？？谢谢，天蝎座有被冒犯到。,4,nan
？？,4,nan
？？哈哈哈哈哈哈,0,nan
？？哈哈哈哈哈哈嗝。。,0,nan
？他身材好好,4,nan
？他身材好好,4,nan
？笑死我了拧下来哈哈哈哈你怎么这么可爱,0,nan
？这也太勇了，我拜服,4,nan
@_@@_@@_@@_@,4,nan
^0^,0,nan
~,4,nan
～,4,nan
~,4,nan
～(￣▽￣～)~,0,nan
～(￣▽￣～)~,0,nan
~…………………………………………………………………………………………………………………………………………,4,nan
‘’‘’‘’,4,nan
?,4,nan
"“”：“”）P:{:P)(\""[:""+""{:_+""|_}[p_",4,nan
“大宝贝”来啦！注意注意哦！,4,nan
?水瓶座啊啊啊啊啊啊啊啊,4,nan
“大宝贝”要来啦，注意注意,4,nan
??警告,4,nan
？？,4,nan
?,4,nan
“关门门”，可爱死了。老夫的少女心啊！,4,nan
《出门左拐》,4,nan
《存档小王子》,4,nan
(? ??_??)?,1,nan
?,4,nan
《存档小王子》,4,nan
?,4,nan
《大虾米》,4,nan
《大虾米》,4,nan
?,4,nan
《高能君再爱我一次》,4,nan
《回首掏》,4,nan
《回首掏》,4,nan
《没那么简单哒啦哒啦哒啦哒哒哒！！》,4,nan
?,4,nan
《收笋与搜寻》,4,nan
《我绝对不会害怕什么的》,4,nan
《虾米》,4,nan
《小 姐 姐》,4,nan
《小高能》,4,nan
《鸭头哥》,4,nan
？？,4,nan
《鸭头哥》「鸭头哥」【鸭头哥】“鸭头哥『鸭头哥』”,4,nan
0 0大半夜看得我,4,nan
0！,4,nan
0.,4,nan
0.5倍观察发生什么,4,nan
？？,4,nan
0.5倍自动变色,4,nan
《羊角哥的复仇者》……羊角哥：让你关我,4,nan
？？,4,nan
《掌握技巧》,4,nan
『战必补』,4,nan
【承包嘻嘻！！！！,4,nan
0。5倍,4,nan
【大家好听刷起来！！！！！,4,nan
？？,4,nan
？？？,4,nan
00.53,4,nan
？？？,4,nan
【大战之前必有补给,4,nan
（心疼一下米米）,1,nan
？？？,4,nan
？？？,4,nan
，摩羯的想哭......,1,nan
？？？,4,nan
【看我聪明的米米记性真好！！,4,nan
049？,4,nan
【练操作的时候到了！！,4,nan
【米米真可爱！,4,nan
【皮皮米上线orz,4,nan
？？？,4,nan
【其实米米是温柔啦～,4,nan
？？？,4,nan
【日常懂了,4,nan
【吻住！,4,nan
【吻住吻住,4,nan
【我爱你小姐姐】,4,nan
】完结撒花,4,nan
？？？,4,nan
+,4,nan
049？,4,nan
0x0,4,nan
？？？,4,nan
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,4,nan
？？？,4,nan
？？？,4,nan
。。。。。。晕了,1,nan
。。。。再见,4,nan
0x0,4,nan
+1,4,nan
＋1,4,nan
+1,4,nan
0一9一4,4,nan
+1,4,nan
+1,4,nan
1,4,nan
。。。有点慌,1,nan
？？？,4,nan
+1,4,nan
1,4,nan
1,4,nan
+1,4,nan
1,4,nan
1,4,nan
+1,4,nan
+1,4,nan
？？？,4,nan
？？？,4,nan
1,4,nan
1,4,nan
1,4,nan
+1,4,nan
？？？,4,nan
1,4,nan
？？？,4,nan
1,4,nan
1,4,nan
＋1,4,nan
？？？,4,nan
1,4,nan
1,4,nan
？？？,4,nan
+1,4,nan
+1,4,nan
+1,4,nan
？？？,4,nan
＋1,4,nan
？？？,4,nan
+1,4,nan
+1,4,nan
1,4,nan
1,4,nan
1,4,nan
1,4,nan
+1,4,nan
+1,4,nan
+1,4,nan
？？？,4,nan
1,4,nan
+1,4,nan
1,4,nan
1,4,nan
？？？,4,nan
+1,4,nan
+1,4,nan
+1,4,nan
。知道为什么不翻窗了吧,4,nan
？？就我一个在边写作业边看吗,4,nan
？别问我啊，我不记得…,4,nan
？？？,4,nan
+1,4,nan
？？？,4,nan
+1,4,nan
1,4,nan
1,4,nan
1,4,nan
？没人,4,nan
？？？,4,nan
+1,4,nan
+1,4,nan
1,4,nan
1,4,nan
1,4,nan
＋1,4,nan
？？？,4,nan
+1,4,nan
+1+1,4,nan
1,4,nan
+10009927,4,nan
+10086,4,nan
1,4,nan
1,4,nan
1,4,nan
+10086,4,nan
+2,4,nan
+2,4,nan
1,4,nan
+2,4,nan
？？？,4,nan
1,4,nan
＋3,4,nan
1,4,nan
+3333,4,nan
?哪儿啊?,4,nan
+4,4,nan
?我发现我啥地方都不记得,4,nan
1,4,nan
+5,4,nan
1,4,nan
+5,4,nan
<安玖> 前方高能，羊角哥被照手电筒，小可爱们注意音量！,4,nan
<安玖>大战之前必有补给！！！,4,nan
？我卡了？,1,nan
<安玖>高能！出去以后又换了个鬼追，心疼白米米三秒钟。预计本集持续高能。,4,nan
？？？,4,nan
<安玖>前方高能！各位小可爱注意音量！(出现过一次的高能),4,nan
1,4,nan
<安玖>前方高能！千手观音飞扑而来！请做好心理准备！(千手观音被黑的最惨的一次),4,nan
?有什么好坚强的，又不是被绿了,4,nan
1,4,nan
？？？,4,nan
<安玖>前方高能！又一次大型洋娃娃找爹现场！小可爱们注意音量！,4,nan
<安玖>前方高能，请注意音量，耳机党请注意不要原地爆炸！,4,nan
？？？,4,nan
<安玖>前方高能，小姐姐邀请您进入神器追逐战.,4,nan
???,4,nan
<安玖>前方高能，小姐姐在线找你嗨～,4,nan
？？？,4,nan
？？？,4,nan
1,4,nan
<安玖>前方男主出门差点跳楼，一个不算高能也不算低能更不是核能的能。,4,nan
1,4,nan
？？？,4,nan
<安玖>前方羊角哥开始表演！请各位小可爱自觉调小音量！,4,nan
<安玖>前方羊角哥贴脸地咚高能，请各位小可爱注意音量！,4,nan
1,4,nan
？？？,4,nan
<安玖>前方洋娃娃开团怼米，请做好心理准备！,4,nan
<安玖>前方转角遇到爱，请各位小可爱做好心理准备,4,nan
1,4,nan
<安玖>提前高能！注意后面小鸽哥音效！请小可爱们注意音量！,4,nan
=,4,nan
=1,4,nan
1,4,nan
∑(O_O；),4,nan
1,4,nan
??我买,4,nan
1,4,nan
↑感谢 ?,4,nan
1,4,nan
-_-||,4,nan
→_→自由 平等 公正 法治 爱国 敬业 诚信 友善←_←,4,nan
1,4,nan
~啊啊啊缺钱啊凄凄切切,1,nan
1,4,nan
1,4,nan
←_←→_→,4,nan
←_←呵呵，白米是男的。,4,nan
1,4,nan
1,4,nan
1,4,nan
←第三个神器了,4,nan
？？？,4,nan
←没错,4,nan
←泰拉瑞亚好评,4,nan
1,4,nan
╭(°A°`)╮高高……高能君呢,4,nan
"╮(￣▽￣"")╭ 进度条君已阵亡",4,nan
1,4,nan
1,4,nan
"╮(￣▽￣"")╭ 进度条君已阵亡",4,nan
"╮(￣▽￣"")╭ 进度条君已阵亡",4,nan
?????????????????????????????????????,4,nan
1,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
1,4,nan
???,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
1,4,nan
1,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
？？？,4,nan
1,4,nan
1,4,nan
1,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
“万物沦丧我在中央”,4,nan
？？？,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
“我再也不玩了”,4,nan
》》啊？？？,4,nan
1,4,nan
1,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
？？？,4,nan
1,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
？？？！,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
1,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
？？？？,4,nan
？？？？,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
1,4,nan
1,4,nan
？？？？,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
1,4,nan
【日常什么也没懂的懂了a?h?h?h?h?h,0,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
？？？？,4,nan
？？？？,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
？？？？,4,nan
1,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
1,4,nan
？？？？,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
【嘤嘤嘤,1,nan
1,4,nan
1,4,nan
【用完必杀技感觉好多了噗哈哈哈哈哈,0,nan
？？？？,4,nan
▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,4,nan
